"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 05 05:12:08 GMT 2023","Tue Dec 05 05:12:08 GMT 2023","13","Default Suite","EDUQAT-AUTOMATIONTEST","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","loginUser","loginUser",""
"passed","Tue Dec 05 10:33:50 GMT 2023","Tue Dec 05 10:34:26 GMT 2023","36868","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseCohort","Create Cohort","Create Course Cohort"
"broken","Tue Dec 05 10:34:28 GMT 2023","Tue Dec 05 10:35:24 GMT 2023","56346","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventOnsite","Create Course Event Onsite","Create Course Event Onsite"
"passed","Tue Dec 05 10:36:09 GMT 2023","Tue Dec 05 10:36:38 GMT 2023","29087","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseSelfPaced","Create Self Paced","Create Course Self Paced"
"passed","Tue Dec 05 10:35:28 GMT 2023","Tue Dec 05 10:36:08 GMT 2023","39798","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventWebinar","Create Course Webinar","Create Course Webinar"
"passed","Tue Dec 05 10:33:56 GMT 2023","Tue Dec 05 10:34:05 GMT 2023","9394","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginValidUser","Login valid user","Login User with valid email and password"
"passed","Tue Dec 05 10:33:47 GMT 2023","Tue Dec 05 10:33:52 GMT 2023","4952","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginInvalidUser","Login invalid user","Login User with invalid email and password"
"passed","Tue Dec 05 08:15:00 GMT 2023","Tue Dec 05 08:15:58 GMT 2023","58524","Default Suite","EDUQAT-AUTOMATIONTEST","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEvent","Create Course Event","Create Course Event"
