"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 11:21:03 GMT 2023","Wed Dec 06 11:21:11 GMT 2023","8193","Suite","Login User","com.test.TestCases.LoginUserSSO","com.test.TestCases.LoginUserSSO","loginValidUser","Login valid user","Login User with valid email and password"
"passed","Wed Dec 06 11:20:10 GMT 2023","Wed Dec 06 11:20:16 GMT 2023","6072","Suite","Login User","com.test.TestCases.LoginUserSSO","com.test.TestCases.LoginUserSSO","loginInvalidUser","Login invalid user","Login User with invalid email and password"
"passed","Wed Dec 06 11:26:45 GMT 2023","Wed Dec 06 11:27:07 GMT 2023","21346","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseSelfPaced","Create Self Paced","Create Course Self Paced"
"passed","Wed Dec 06 11:21:57 GMT 2023","Wed Dec 06 11:22:37 GMT 2023","39878","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventOnsite","Create Course Event Onsite","Create Course Event Onsite"
"broken","Wed Dec 06 11:23:10 GMT 2023","Wed Dec 06 11:24:38 GMT 2023","87714","Suite","Create School","com.test.TestCases.CreateNewSchool","com.test.TestCases.CreateNewSchool","createCourseEventWebinar","Create School","Create School"
"passed","Wed Dec 06 11:21:44 GMT 2023","Wed Dec 06 11:21:44 GMT 2023","250","Suite","Login web school","com.test.TestCases.LoginUserSchool","com.test.TestCases.LoginUserSchool","loginValidUserSchool","Login valid user","Login User with valid email and password"
"passed","Wed Dec 06 11:26:07 GMT 2023","Wed Dec 06 11:26:36 GMT 2023","28863","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventWebinar","Create Course Webinar","Create Course Webinar"
"passed","Wed Dec 06 11:20:27 GMT 2023","Wed Dec 06 11:20:58 GMT 2023","31031","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseCohort","Create Cohort","Create Course Cohort"
