"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 04 09:29:36 GMT 2023","Mon Dec 04 09:29:48 GMT 2023","11355","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginValidUser","Login valid user","Login User with valid email and password"
"passed","Mon Dec 04 09:29:30 GMT 2023","Mon Dec 04 09:29:35 GMT 2023","4651","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginInvalidUser","Login invalid user","Login User with invalid email and password"
"broken","Mon Dec 04 09:29:30 GMT 2023","Mon Dec 04 09:30:22 GMT 2023","52170","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEvent","Create Course Event","Create Course Event"
"broken","Mon Dec 04 09:30:25 GMT 2023","Mon Dec 04 09:30:56 GMT 2023","31135","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseSelfPaced","Create Course Event","Create Course Self Paced"
