"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 11:33:30 GMT 2023","Thu Dec 21 11:33:33 GMT 2023","2797","Suite","Forgot password Educator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","forgotPasswordUserSchoolWithWrongCode","Forgot Password Educator with wrong code","Forgot Password Educator with wrong code"
"passed","Thu Dec 21 11:33:20 GMT 2023","Thu Dec 21 11:33:22 GMT 2023","2808","Suite","Forgot password Educator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","forgotPasswordUserSchoolEmptyPasswordField","Forgot Password Educator with empty password field","Forgot Password Educator with empty password field"
"broken","Thu Dec 21 11:32:03 GMT 2023","Thu Dec 21 11:33:08 GMT 2023","65576","Suite","Forgot password Educator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","forgotPasswordSchool","Forgot Password Educator","Forgot Password Educator"
"passed","Thu Dec 21 11:33:07 GMT 2023","Thu Dec 21 11:33:11 GMT 2023","3497","Suite","Forgot password Admin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","forgotPasswordUserSchoolEmptyPasswordField","Forgot Password Admin with empty password field","Forgot Password Admin with empty password field"
"passed","Thu Dec 21 11:33:04 GMT 2023","Thu Dec 21 11:33:05 GMT 2023","1531","Suite","Forgot password Admin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","forgotPasswordUserSchoolEmptyEmail","Forgot Password Admin with empty email","Forgot Password Admin with empty email"
"passed","Thu Dec 21 11:33:19 GMT 2023","Thu Dec 21 11:33:22 GMT 2023","3144","Suite","Forgot password Admin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","forgotPasswordUserSchoolWithWrongCode","Forgot Password Admin with wrong code","Forgot Password Admin with wrong code"
"passed","Thu Dec 21 11:33:25 GMT 2023","Thu Dec 21 11:33:28 GMT 2023","3224","Suite","Forgot password Educator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","forgotPasswordUserSchoolEmptyReEnterPasswordField","Forgot Password Educator with empty re-enter password field","Forgot Password Educator with empty re-enter password field"
"passed","Thu Dec 21 11:32:58 GMT 2023","Thu Dec 21 11:33:01 GMT 2023","3188","Suite","Forgot password Admin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","forgotPasswordUserSchoolEmptyCodeField","Forgot Password Admin with empty code field","Forgot Password Admin with empty code field"
"broken","Thu Dec 21 11:31:51 GMT 2023","Thu Dec 21 11:32:56 GMT 2023","64845","Suite","Forgot password Admin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","forgotPasswordSchool","Forgot Password Admin","Forgot Password Admin"
"passed","Thu Dec 21 11:33:24 GMT 2023","Thu Dec 21 11:33:30 GMT 2023","5413","Suite","Forgot password Admin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","forgotPasswordUserSchoolWithDifferentPass","Forgot Password Admin with different password input","Forgot Password Admin with different password input"
"passed","Thu Dec 21 11:33:11 GMT 2023","Thu Dec 21 11:33:14 GMT 2023","3150","Suite","Forgot password Educator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","forgotPasswordUserSchoolEmptyCodeField","Forgot Password Educator with empty code field","Forgot Password Educator with empty code field"
"passed","Thu Dec 21 11:33:16 GMT 2023","Thu Dec 21 11:33:17 GMT 2023","1308","Suite","Forgot password Educator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","forgotPasswordUserSchoolEmptyEmail","Forgot Password Educator with empty email","Forgot Password Educator with empty email"
"passed","Thu Dec 21 11:33:13 GMT 2023","Thu Dec 21 11:33:17 GMT 2023","3235","Suite","Forgot password Admin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","com.test.TestCases.ForgotPassword.ForgotPasswordAdmin","forgotPasswordUserSchoolEmptyReEnterPasswordField","Forgot Password Admin with empty re-enter password field","Forgot Password Admin with empty re-enter password field"
"passed","Thu Dec 21 11:33:35 GMT 2023","Thu Dec 21 11:33:40 GMT 2023","4921","Suite","Forgot password Educator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","com.test.TestCases.ForgotPassword.ForgotPasswordEducator","forgotPasswordUserSchoolWithDifferentPass","Forgot Password Educator with different password input","Forgot Password Educator with different password input"
