"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 09:34:09 GMT 2023","Wed Dec 06 09:34:09 GMT 2023","253","Suite","Login web school","com.test.TestCases.LoginUserSchool","com.test.TestCases.LoginUserSchool","loginValidUserSchool","Login valid user","Login User with valid email and password"
"passed","Wed Dec 06 09:32:47 GMT 2023","Wed Dec 06 09:32:54 GMT 2023","7354","Suite","Login User","com.test.TestCases.LoginUserSSO","com.test.TestCases.LoginUserSSO","loginValidUser","Login valid user","Login User with valid email and password"
"broken","Wed Dec 06 09:40:28 GMT 2023","Wed Dec 06 09:41:43 GMT 2023","74360","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventWebinar","Create Course Webinar","Create Course Webinar"
"broken","Wed Dec 06 09:32:52 GMT 2023","Wed Dec 06 09:34:06 GMT 2023","73746","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseCohort","Create Cohort","Create Course Cohort"
"passed","Wed Dec 06 09:31:34 GMT 2023","Wed Dec 06 09:31:36 GMT 2023","2131","Suite","Login User","com.test.TestCases.LoginUserSSO","com.test.TestCases.LoginUserSSO","loginInvalidUser","Login invalid user","Login User with invalid email and password"
"broken","Wed Dec 06 09:36:42 GMT 2023","Wed Dec 06 09:37:56 GMT 2023","74388","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventOnsite","Create Course Event Onsite","Create Course Event Onsite"
"broken","Wed Dec 06 09:44:15 GMT 2023","Wed Dec 06 09:45:31 GMT 2023","76386","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseSelfPaced","Create Self Paced","Create Course Self Paced"
"broken","Wed Dec 06 09:32:57 GMT 2023","Wed Dec 06 09:34:10 GMT 2023","72830","Suite","Create School","com.test.TestCases.CreateNewSchool","com.test.TestCases.CreateNewSchool","createCourseEventWebinar","Create School","Create School"
