"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 31 08:47:46 GMT 2023","Sun Dec 31 08:48:14 GMT 2023","27408","Suite","Invitation Learner","com.test.TestCases.InvitationUser.InvitationLearner","com.test.TestCases.InvitationUser.InvitationLearner","invitationUserLearnerEvent","Invitation new learner event","Invitation New Learner Event"
"broken","Sun Dec 31 08:47:03 GMT 2023","Sun Dec 31 08:47:32 GMT 2023","29262","Suite","Invitation Learner","com.test.TestCases.InvitationUser.InvitationLearner","com.test.TestCases.InvitationUser.InvitationLearner","invitationUserLearnerCohort","Invitation new learner cohort","Invitation New Learner Cohort"
"passed","Sun Dec 31 08:48:27 GMT 2023","Sun Dec 31 08:48:55 GMT 2023","28445","Suite","Invitation Learner","com.test.TestCases.InvitationUser.InvitationLearner","com.test.TestCases.InvitationUser.InvitationLearner","invitationUserLearnerSelfPaced","Invitation New Learner Self Paced","Invitation New Learner Self Paced"
