"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 06 04:53:02 GMT 2023","Wed Dec 06 04:53:02 GMT 2023","8","Default Suite","EDUQAT-AUTOMATIONTEST","com.test.TestCases.LoginUserSchool","com.test.TestCases.LoginUserSchool","launchApp","launchApp",""
"passed","Wed Dec 06 05:30:09 GMT 2023","Wed Dec 06 05:30:12 GMT 2023","3387","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginInvalidUser","Login invalid user","Login User with invalid email and password"
"passed","Wed Dec 06 05:30:10 GMT 2023","Wed Dec 06 05:30:51 GMT 2023","40937","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseCohort","Create Cohort","Create Course Cohort"
"broken","Wed Dec 06 04:58:38 GMT 2023","Wed Dec 06 04:58:38 GMT 2023","5","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","launchApp","launchApp",""
"passed","Wed Dec 06 05:32:22 GMT 2023","Wed Dec 06 05:32:55 GMT 2023","33159","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseSelfPaced","Create Self Paced","Create Course Self Paced"
"passed","Wed Dec 06 05:30:55 GMT 2023","Wed Dec 06 05:31:43 GMT 2023","48227","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventOnsite","Create Course Event Onsite","Create Course Event Onsite"
"passed","Wed Dec 06 05:31:45 GMT 2023","Wed Dec 06 05:32:21 GMT 2023","35778","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventWebinar","Create Course Webinar","Create Course Webinar"
"broken","Wed Dec 06 04:53:02 GMT 2023","Wed Dec 06 04:53:02 GMT 2023","1","Default Suite","EDUQAT-AUTOMATIONTEST","com.test.TestCases.LoginUserSchool","com.test.TestCases.LoginUserSchool","tearDown","tearDown",""
"passed","Wed Dec 06 05:30:14 GMT 2023","Wed Dec 06 05:30:29 GMT 2023","14825","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginValidUser","Login valid user","Login User with valid email and password"
"passed","Wed Dec 06 05:17:07 GMT 2023","Wed Dec 06 05:17:07 GMT 2023","513","Default Suite","EDUQAT-AUTOMATIONTEST","com.test.TestCases.LoginUserSchool","com.test.TestCases.LoginUserSchool","loginValidUserSchool","Login valid user","Login User with valid email and password"
