"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 09:00:48 GMT 2023","Mon Dec 18 09:00:59 GMT 2023","10786","Suite","Login SSO","com.test.TestCases.Login.LoginUserSSO","com.test.TestCases.Login.LoginUserSSO","loginValidUser","Login User with valid email and password","Login User with valid email and password"
"passed","Mon Dec 18 09:02:37 GMT 2023","Mon Dec 18 09:02:40 GMT 2023","3402","Suite","Register user SSO","com.test.TestCases.Register.RegisterUserSSO","com.test.TestCases.Register.RegisterUserSSO","registerUserWithEmptyName","Register user with empty name","Register user with empty name"
"passed","Mon Dec 18 08:59:21 GMT 2023","Mon Dec 18 08:59:23 GMT 2023","1644","Suite","Login SSO","com.test.TestCases.Login.LoginUserSSO","com.test.TestCases.Login.LoginUserSSO","loginUserEmptyEmail","Login User with empty email","Login User with empty email"
"passed","Mon Dec 18 09:03:04 GMT 2023","Mon Dec 18 09:03:09 GMT 2023","4760","Suite","Forgot password SSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","forgotPasswordUserSSOWithDiffPass","Forgot Password SSO with different password","Forgot Password SSO with different password"
"passed","Mon Dec 18 09:00:15 GMT 2023","Mon Dec 18 09:00:18 GMT 2023","3045","Suite","Login web school","com.test.TestCases.Login.LoginUserSchool","com.test.TestCases.Login.LoginUserSchool","loginWithEmptyEmail","Login User with empty email","Login User with empty email"
"passed","Mon Dec 18 08:59:41 GMT 2023","Mon Dec 18 08:59:45 GMT 2023","4382","Suite","Login web school","com.test.TestCases.Login.LoginUserSchool","com.test.TestCases.Login.LoginUserSchool","loginInvalidEmail","Login User with invalid email","Login User with invalid email"
"broken","Mon Dec 18 09:09:13 GMT 2023","Mon Dec 18 09:09:37 GMT 2023","24264","Suite","Invitation Learner","com.test.TestCases.InvitationUser.InvitationLearner","com.test.TestCases.InvitationUser.InvitationLearner","invitationUserLearnerCohort","Invitation new learner cohort","Invitation New Learner Cohort"
"broken","Mon Dec 18 09:11:11 GMT 2023","Mon Dec 18 09:12:24 GMT 2023","73820","Suite","Accept Invitation Learner","com.test.TestCases.InvitationUser.AcceptInvitationNewLearner","com.test.TestCases.InvitationUser.AcceptInvitationNewLearner","acceptLearnerCohort","Accept Invitation Learner Cohort","Accept Invitation Learner Cohort"
"passed","Mon Dec 18 09:03:47 GMT 2023","Mon Dec 18 09:03:49 GMT 2023","1555","Suite","Register user school","com.test.TestCases.Register.RegisterUserSchool","com.test.TestCases.Register.RegisterUserSchool","registerUserSchoolWithoutTickAgrementPrivacy","Register user school without tick agreement privacy","Register user school without tick agreement privacy"
"broken","Mon Dec 18 09:13:27 GMT 2023","Mon Dec 18 09:14:58 GMT 2023","91422","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventWebinar","Create Course Webinar","Create Course Webinar"
"passed","Mon Dec 18 08:59:27 GMT 2023","Mon Dec 18 08:59:36 GMT 2023","8819","Suite","Logout SSO","com.test.TestCases.Logout.LogOutUserSSO","com.test.TestCases.Logout.LogOutUserSSO","logoutUserWithDropdownButton","Logout user with dropdown button","Logout user with dropdown button"
"broken","Mon Dec 18 09:14:57 GMT 2023","Mon Dec 18 09:16:11 GMT 2023","73899","Suite","Accept Invitation Learner","com.test.TestCases.InvitationUser.AcceptInvitationNewLearner","com.test.TestCases.InvitationUser.AcceptInvitationNewLearner","acceptLearnerEvent","Accept Invitation Learner Event","Accept Invitation Learner Event"
"passed","Mon Dec 18 08:59:15 GMT 2023","Mon Dec 18 08:59:26 GMT 2023","10172","Suite","Logout SSO","com.test.TestCases.Logout.LogOutUserSSO","com.test.TestCases.Logout.LogOutUserSSO","logoutUserWithButtonDashboard","Logout user with button in dashboard","Logout user with button in dashboard"
"broken","Mon Dec 18 09:18:32 GMT 2023","Mon Dec 18 09:20:02 GMT 2023","90102","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseSelfPaced","Create Self Paced","Create Course Self Paced"
"passed","Mon Dec 18 09:00:00 GMT 2023","Mon Dec 18 09:00:11 GMT 2023","11731","Suite","Login web school","com.test.TestCases.Login.LoginUserSchool","com.test.TestCases.Login.LoginUserSchool","loginValidUserSchool","Login valid valid email and password","Login User with valid email and password"
"passed","Mon Dec 18 09:02:49 GMT 2023","Mon Dec 18 09:02:56 GMT 2023","6710","Suite","Forgot password SSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","forgotPasswordUserSSOWrongCode","Forgot Password SSO with wrong code","Forgot Password SSO with wrong code"
"passed","Mon Dec 18 09:04:05 GMT 2023","Mon Dec 18 09:04:27 GMT 2023","22232","Suite","Invitation User Admin","com.test.TestCases.InvitationUser.InvitationUser","com.test.TestCases.InvitationUser.InvitationUser","invitationUserAdmin","Invitation User Admin","Invitation user Admin"
"passed","Mon Dec 18 09:03:10 GMT 2023","Mon Dec 18 09:03:14 GMT 2023","4369","Suite","Forgot password SSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","forgotPasswordUserSSOWithUnderSixChar","Forgot Password SSO with password under 6 character","Forgot Password SSO with password under 6 character"
"passed","Mon Dec 18 09:04:39 GMT 2023","Mon Dec 18 09:04:57 GMT 2023","18004","Suite","Invitation User Educator","com.test.TestCases.InvitationUser.InvitationUser","com.test.TestCases.InvitationUser.InvitationUser","invitationUserEducator","Invitation user Educator","Invitation user Educator"
"passed","Mon Dec 18 09:02:05 GMT 2023","Mon Dec 18 09:02:06 GMT 2023","1295","Suite","Forgot password School","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","forgotPasswordUserSchoolEmptyEmail","Forgot Password School with empty email","Forgot Password School with empty email"
"passed","Mon Dec 18 08:59:48 GMT 2023","Mon Dec 18 08:59:51 GMT 2023","2813","Suite","Login web school","com.test.TestCases.Login.LoginUserSchool","com.test.TestCases.Login.LoginUserSchool","loginInvalidPassword","Login User with invalid password","Login User with invalid password"
"passed","Mon Dec 18 09:02:27 GMT 2023","Mon Dec 18 09:02:30 GMT 2023","2782","Suite","Forgot password School","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","forgotPasswordUserSchoolWithWrongCode","Forgot Password School with wrong code","Forgot Password School with wrong code"
"passed","Mon Dec 18 09:00:28 GMT 2023","Mon Dec 18 09:00:29 GMT 2023","924","Suite","Login web school","com.test.TestCases.Login.LoginUserSchool","com.test.TestCases.Login.LoginUserSchool","loginWithInvalidEmailFormat","Login with invalid email format","Login User with invalid email format"
"broken","Mon Dec 18 09:07:22 GMT 2023","Mon Dec 18 09:08:38 GMT 2023","75493","Suite","Accept Invitation Admin","com.test.TestCases.InvitationUser.AcceptInvitationUser","com.test.TestCases.InvitationUser.AcceptInvitationUser","acceptUserAdmin","Accept Invitation User Admin","Accept Invitation User Admin"
"broken","Mon Dec 18 09:05:01 GMT 2023","Mon Dec 18 09:06:17 GMT 2023","75839","Suite","Forgot password School","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","forgotPasswordSchool","Forgot Password School","Forgot Password School"
"passed","Mon Dec 18 09:07:38 GMT 2023","Mon Dec 18 09:07:43 GMT 2023","4372","Suite","Forgot password School","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","forgotPasswordUserSchoolWithDifferentPass","Forgot Password School with different password input","Forgot Password School with different password input"
"passed","Mon Dec 18 09:02:32 GMT 2023","Mon Dec 18 09:02:35 GMT 2023","3341","Suite","Register user SSO","com.test.TestCases.Register.RegisterUserSSO","com.test.TestCases.Register.RegisterUserSSO","registerUserWithInvalidEmailFormat","Register user with invalid email format","Register user with invalid email format"
"passed","Mon Dec 18 09:03:42 GMT 2023","Mon Dec 18 09:03:45 GMT 2023","2502","Suite","Register user school","com.test.TestCases.Register.RegisterUserSchool","com.test.TestCases.Register.RegisterUserSchool","registerUserSchoolWithWrongEmailFormat","Register user school with invalid email","Register user school with invalid email"
"passed","Mon Dec 18 09:01:51 GMT 2023","Mon Dec 18 09:02:01 GMT 2023","9576","Suite","Logout web school","com.test.TestCases.Logout.LogOutUserSchool","com.test.TestCases.Logout.LogOutUserSchool","loginValidUserSchool","Logout user school","Logout user school"
"passed","Mon Dec 18 09:03:21 GMT 2023","Mon Dec 18 09:03:24 GMT 2023","3099","Suite","Forgot password SSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","forgotPasswordUserSSOEmptyEmail","Forgot Password SSO with empty email","Forgot Password SSO with empty email"
"passed","Mon Dec 18 08:59:27 GMT 2023","Mon Dec 18 08:59:27 GMT 2023","495","Suite","Login SSO","com.test.TestCases.Login.LoginUserSSO","com.test.TestCases.Login.LoginUserSSO","loginUserEmptyEmailAndPassword","Login User with empty email and password","Login User with empty email and password"
"passed","Mon Dec 18 09:02:21 GMT 2023","Mon Dec 18 09:02:23 GMT 2023","2313","Suite","Register user school","com.test.TestCases.Register.RegisterUserSchool","com.test.TestCases.Register.RegisterUserSchool","registerUserSchoolWithEmptyEmail","Register user school with empty email","Register user school with empty email"
"passed","Mon Dec 18 09:02:41 GMT 2023","Mon Dec 18 09:02:43 GMT 2023","2255","Suite","Register user SSO","com.test.TestCases.Register.RegisterUserSSO","com.test.TestCases.Register.RegisterUserSSO","registerUserWithEmptyPassword","Register user with empty password","Register user with empty password"
"passed","Mon Dec 18 09:02:22 GMT 2023","Mon Dec 18 09:02:25 GMT 2023","3135","Suite","Forgot password School","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","forgotPasswordUserSchoolEmptyReEnterPasswordField","Forgot Password School with empty re-enter password field","Forgot Password School with empty re-enter password field"
"passed","Mon Dec 18 09:02:00 GMT 2023","Mon Dec 18 09:02:03 GMT 2023","2930","Suite","Forgot password School","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","com.test.TestCases.ForgotPassword.ForgotPasswordSchool","forgotPasswordUserSchoolEmptyCodeField","Forgot Password School with empty code field","Forgot Password School with empty code field"
"passed","Mon Dec 18 09:03:26 GMT 2023","Mon Dec 18 09:03:39 GMT 2023","13293","Suite","Forgot password SSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","com.test.TestCases.ForgotPassword.ForgotPasswordSSO","forgotPasswordUserSSO","Forgot Password SSO","Forgot Password SSO"
"passed","Mon Dec 18 09:03:51 GMT 2023","Mon Dec 18 09:03:53 GMT 2023","1483","Suite","Register user school","com.test.TestCases.Register.RegisterUserSchool","com.test.TestCases.Register.RegisterUserSchool","registerUserSchoolWithoutTickAgrementSaas","Register user school without tick agreement SaaS","Register user school without tick agreement SaaS"
