"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 05 11:28:36 GMT 2023","Tue Dec 05 11:29:23 GMT 2023","47071","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventWebinar","Create Course Webinar","Create Course Webinar"
"broken","Tue Dec 05 05:12:08 GMT 2023","Tue Dec 05 05:12:08 GMT 2023","13","Default Suite","EDUQAT-AUTOMATIONTEST","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","loginUser","loginUser",""
"passed","Tue Dec 05 11:29:27 GMT 2023","Tue Dec 05 11:30:03 GMT 2023","35696","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseSelfPaced","Create Self Paced","Create Course Self Paced"
"passed","Tue Dec 05 08:15:00 GMT 2023","Tue Dec 05 08:15:58 GMT 2023","58524","Default Suite","EDUQAT-AUTOMATIONTEST","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEvent","Create Course Event","Create Course Event"
"broken","Tue Dec 05 11:27:40 GMT 2023","Tue Dec 05 11:28:33 GMT 2023","53442","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseEventOnsite","Create Course Event Onsite","Create Course Event Onsite"
"passed","Tue Dec 05 11:26:48 GMT 2023","Tue Dec 05 11:26:51 GMT 2023","3171","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginInvalidUser","Login invalid user","Login User with invalid email and password"
"passed","Tue Dec 05 11:26:55 GMT 2023","Tue Dec 05 11:27:09 GMT 2023","14631","Suite","Login User","com.test.TestCases.LoginUser","com.test.TestCases.LoginUser","loginValidUser","Login valid user","Login User with valid email and password"
"passed","Tue Dec 05 11:26:48 GMT 2023","Tue Dec 05 11:27:39 GMT 2023","50444","Suite","Create Course","com.test.TestCases.CreateCourse","com.test.TestCases.CreateCourse","createCourseCohort","Create Cohort","Create Course Cohort"
